100000,123
100000,133
100000,130
100000,131
100000,124
100000,127
100000,131
100000,124
100000,125
100000,123
10000,19
10000,20
10000,18
10000,18
10000,19
10000,19
10000,20
10000,19
10000,18
10000,19
1000,6
1000,6
1000,6
1000,6
1000,6
1000,7
1000,7
1000,6
1000,6
1000,6
500000,525
500000,553
500000,597
500000,496
500000,472
500000,602
500000,601
500000,467
500000,469
500000,527
50000,67
50000,67
50000,66
50000,66
50000,69
50000,69
50000,64
50000,70
50000,66
50000,66
5000,14
5000,13
5000,13
5000,14
5000,13
5000,13
5000,12
5000,13
5000,12
5000,13
