100000,133
100000,131
100000,132
100000,133
100000,129
100000,135
100000,140
100000,131
100000,130
100000,135
10000,22
10000,20
10000,21
10000,20
10000,21
10000,20
10000,20
10000,20
10000,20
10000,20
1000,7
1000,7
1000,7
1000,7
1000,8
1000,7
1000,7
1000,7
1000,7
1000,8
500000,562
500000,556
500000,495
500000,565
500000,554
500000,560
500000,570
500000,513
500000,546
500000,559
50000,72
50000,73
50000,72
50000,71
50000,75
50000,72
50000,74
50000,74
50000,74
50000,73
5000,13
5000,13
5000,14
5000,14
5000,13
5000,13
5000,14
5000,14
5000,13
5000,13
