1726015 190
2193869 625
1615253 1059
2179757 903
1568638 1009
1556664 631
1561795 160
2960227 184
1813684 5029
1743122 5908
1883820 773
1824804 759
1807697 3614
2063435 755
1844048 284
1811546 4144
4069136 103
2824660 72
2444475 757
1951390 1470
2592444 3247
2490662 2810
2496650 3262
3048751 3338
2546257 12983
1974483 15596
6052172 15596
4464289 15168
6347254 3338
5618958 5951
2810975 11584
1879544 11574
1624233 285
1753813 1966
1645616 1903
2321739 11364
1994582 47456
1861581 1972
1951817 1957
2130577 1454
