2573194 2147483647
2243473 424024742
1537844 2147483647
2240906 2147483647
1490802 2147483647
1570773 2147483647
2380322 12718488
1434779 2147483647
2003559 2147483647
1540409 2147483647
1621236 13525886
1570346 20116044
1422377 17092663
1639198 8589827
1637059 2812039
2299496 20116044
3250598 402426
1875263 2044537
1582748 3623833
1491657 602721
1652027 213298390
1995861 756120047
1739696 1512240095
1700352 79747036
1444615 554165474
1729433 628791109
1678114 554165474
2227650 51510567
2049318 1108330948
1737558 318988145
1843189 609132757
1631072 1164122968
1717458 2147483647
2798567 714144880
2129289 2147483647
1529718 40801799
1488236 19423161
2275547 2147483647
1706767 2147483647
2217814 2147483647
