2495367 765314
2908908 653568
3186456 4563235
2760940 764258
3193299 126203
3080398 4204
6185601 127088
3342551 736830
3448609 20803
12832641 122804
4342408 8324
3562365 9693
3020527 420
4708053 463
7319313 1592
3236492 1375
4236350 8610
3887811 7276
2631788 1324
2938417 8451
2548823 55880
2831930 4282074
3219814 244827
3877119 85787
2818245 12189
2723734 56848
3435779 246662
2815680 62970
2669422 282960
3566641 6481
2625373 5307
3493085 1394567
2992302 169121
3507626 34913
2526585 187485
5714752 216176
2848182 146161
3431931 222845
3069279 5213134
2997861 1348737
