100000,129
100000,127
100000,126
100000,130
100000,124
100000,125
100000,135
100000,128
100000,130
100000,131
10000,20
10000,19
10000,20
10000,20
10000,19
10000,20
10000,19
10000,19
10000,19
10000,19
1000,7
1000,7
1000,6
1000,6
1000,6
1000,6
1000,6
1000,6
1000,7
1000,6
500000,552
500000,490
500000,445
500000,547
500000,551
500000,566
500000,556
500000,460
500000,534
500000,490
50000,67
50000,67
50000,67
50000,67
50000,70
50000,68
50000,71
50000,69
50000,67
50000,67
5000,13
5000,13
5000,13
5000,13
5000,13
5000,13
5000,13
5000,13
5000,13
5000,13
